ID	LogFC	Pvalue	Symbol
1	Q9NQW6	0.549544486397259	0.403717486148516	ANLN
2	E9PPH5	-0.037899499520616	0.788586931498075	ANP32E
3	P36404	0.251559836326622	0.564251395314718	ARL2
4	P49368	0.0745470803572331	0.229380667668968	CCT3
5	P40227	-0.00308447951324327	0.981399858827948	CCT6A
6	Q92526	0.00679689847081603	0.936049853850085	CCT6B
7	Q6UWR7	-0.293573497492843	0.367236077275616	ENPP6
8	P02671	-0.326072736677082	0.795323224748897	FGA
9	P02675	-0.182817620429594	0.677360605416506	FGB
10	C9JC84	-0.66131442946311	0.185380891817268	FGG
11	P51991	0.179377762239756	0.263925600136896	HNRNPA3
12	A0MZ66	0.293707400717906	0.0357675065154176	SHTN1
13	F5H5G1	-0.196675838905578	0.141619318203738	LSAMP
14	P56192	-0.102269902909492	0.499163677136961	MARS
15	O94832	0.0727519867176997	0.949392186135223	MYO1D
16	Q9UJ70	1.03373474364368	0.351580107969693	NAGK
17	Q9P121	0.0432878721962723	0.67476787097659	NTM
18	A4D1I0	0.54211635772534	0.0658803577837231	PPP1R9A
19	P17612	0.00840413325648173	0.949473866055332	PRKACA
20	A0A087WW66	0.0238007180036979	0.957231686860109	PSMD1
21	Q15276	0.036626851268818	0.887730380133308	RABEP1
22	P23246	0.0992831111009761	0.63993579338229	SFPQ
23	Q15370	-0.272884232115463	0.125498359387778	ELOB
24	P17987	-0.00776607333553832	0.95185815465041	TCP1
25	P67936	-0.370225162178625	0.0102888067038195	TPM4
26	Q8TBC4	-0.118423629294481	0.720699568327836	UBA3
