ANLN	ENPP6
ANLN	MYO1D
CCT3	CCT6A
CCT6A	CCT6B
CCT6A	TCP1
CCT6B	TCP1
ENPP6	MYO1D
FGA	FGB
FGA	FGG
FGA	LSAMP
FGB	FGG
FGG	LSAMP
SHTN1	MYO1D
LSAMP	NTM
PPP1R9A	TPM4
ELOB	TPM4
