ABR	-0.0640794962132281
AHCY	0.258058441076017
ALDOA	0.00891322365206561
ALDOC	0.166587448239894
BPHL	-0.0149482167916543
ECI1	-0.23887333486995
EFHD2	-0.0976924536832522
EIF4G2	0.233650447323159
GDA	0.14477445333362
GNAI2	0.0393101558682285
GPX1	0.051228668490737
HDHD2	0.385431294027491
HPRT1	-0.231415890358644
HSPE1	-0.315779302196551
IAH1	0.00545804575676706
PARK7	-0.00858151877856563
PEBP1	0.27824318863896
PRDX2	0.206257459420367
PLPBP	0.0622764370375621
RAD23B	0.335970893415906
SNX1	0.0225782396923726
SNX5	0.0362848770291491
TALDO1	0.312444228310951
TF	-0.151347712900081
TXN	0.335688027080721
