ANLN	0.549544486397259
ANP32E	-0.037899499520616
ARL2	0.251559836326622
CCT3	0.0745470803572331
CCT6A	-0.00308447951324327
CCT6B	0.00679689847081603
ENPP6	-0.293573497492843
FGA	-0.326072736677082
FGB	-0.182817620429594
FGG	-0.66131442946311
HNRNPA3	0.179377762239756
SHTN1	0.293707400717906
LSAMP	-0.196675838905578
MARS	-0.102269902909492
MYO1D	0.0727519867176997
NAGK	1.03373474364368
NTM	0.0432878721962723
PPP1R9A	0.54211635772534
PRKACA	0.00840413325648173
PSMD1	0.0238007180036979
RABEP1	0.036626851268818
SFPQ	0.0992831111009761
ELOB	-0.272884232115463
TCP1	-0.00776607333553832
TPM4	-0.370225162178625
UBA3	-0.118423629294481
